"filename", "language", "JavaScript", "Objective-C", "JSON", "XML", "C++", "JavaScript React", "Markdown", "CSS", "YAML", "Shell Script", "Groovy", "Properties", "Batch", "Java", "comment", "blank", "total"
"c:\dev\repos\ZanysoundApp\src\components\OptionList\OptionList.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\dev\repos\ZanysoundApp\src\components\OptionList\OptionListItem.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\dev\repos\ZanysoundApp\src\components\OptionList\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\dev\repos\ZanysoundApp\src\components\PlayerPlaylistContainer\PlayerPlaylistContainerBG.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 52
"c:\dev\repos\ZanysoundApp\src\components\PlayerPlaylistContainer\index.js", "JavaScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 23, 185
"c:\dev\repos\ZanysoundApp\src\components\PlayerUI\PlayerUI.js", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 176
"c:\dev\repos\ZanysoundApp\src\components\PlayerUI\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\dev\repos\ZanysoundApp\src\components\Player\FullScreenPlayer.js", "JavaScript", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 237
"c:\dev\repos\ZanysoundApp\src\components\Player\MiniPlayer.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 204
"c:\dev\repos\ZanysoundApp\src\components\Player\Player.js", "JavaScript", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28, 236
"c:\dev\repos\ZanysoundApp\src\components\Player\PlayerProgressBar.js", "JavaScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 159
"c:\dev\repos\ZanysoundApp\src\components\Player\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\dev\repos\ZanysoundApp\src\components\Playlist.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 72
"c:\dev\repos\ZanysoundApp\src\components\PlaylistCover.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\dev\repos\ZanysoundApp\src\components\PlaylistPreview.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"c:\dev\repos\ZanysoundApp\src\components\PlaylistRemoveButton.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 52
"c:\dev\repos\ZanysoundApp\src\components\Playlists.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 140
"c:\dev\repos\ZanysoundApp\src\components\ScreenPlaceholder.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\dev\repos\ZanysoundApp\src\components\SongWithNavigation.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\dev\repos\ZanysoundApp\src\components\Song\index.js", "JavaScript", 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 278
"c:\dev\repos\ZanysoundApp\src\components\TrackCacheButton.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 121
"c:\dev\repos\ZanysoundApp\src\components\TrackModalWindow.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 75
"c:\dev\repos\ZanysoundApp\src\components\TrackModalWindowButton.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\dev\repos\ZanysoundApp\src\components\TrackSearchInput.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 125
"c:\dev\repos\ZanysoundApp\src\components\screens\CollectionScreen\CollectionScreen.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 78
"c:\dev\repos\ZanysoundApp\src\components\screens\CollectionScreen\CollectionScreenHeader.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\dev\repos\ZanysoundApp\src\components\screens\CollectionScreen\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\dev\repos\ZanysoundApp\src\components\screens\FavoritesScreen.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 112
"c:\dev\repos\ZanysoundApp\src\components\screens\ProfileScreen.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 96
"c:\dev\repos\ZanysoundApp\src\components\screens\RecommendedScreen.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 128
"c:\dev\repos\ZanysoundApp\src\components\screens\SearchScreen.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 164
"c:\dev\repos\ZanysoundApp\src\consts\URLConsts.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\dev\repos\ZanysoundApp\src\consts\timeContst.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\dev\repos\ZanysoundApp\src\consts\windowSizeConsts.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\dev\repos\ZanysoundApp\src\errors\FreeSpaceError.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\dev\repos\ZanysoundApp\src\errors\NetworkError.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\dev\repos\ZanysoundApp\src\helpers\FavoriteSongsHelper.js", "JavaScript", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50, 273
"c:\dev\repos\ZanysoundApp\src\helpers\Mp3CacheHelper.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30, 173
"c:\dev\repos\ZanysoundApp\src\helpers\Mp3UrlHelper.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\dev\repos\ZanysoundApp\src\helpers\NetworkConnectionHelper.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 65
"c:\dev\repos\ZanysoundApp\src\helpers\PlaylistsHelper.js", "JavaScript", 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 77, 402
"c:\dev\repos\ZanysoundApp\src\helpers\RecommendedSongsHelper.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 125
"c:\dev\repos\ZanysoundApp\src\helpers\SearchHelper.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 127
"c:\dev\repos\ZanysoundApp\src\helpers\TrackCacheHelper.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 144
"c:\dev\repos\ZanysoundApp\src\helpers\UserHelper.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 111
"c:\dev\repos\ZanysoundApp\src\helpers\WindowHelper.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\dev\repos\ZanysoundApp\src\helpers\YoutubeHelper.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 130
"c:\dev\repos\ZanysoundApp\src\hooks\useActive.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\dev\repos\ZanysoundApp\src\hooks\useAdaptiveRender.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\dev\repos\ZanysoundApp\src\hooks\useEventListener.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\dev\repos\ZanysoundApp\src\hooks\useForceUpdate.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\dev\repos\ZanysoundApp\src\hooks\useHover.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\dev\repos\ZanysoundApp\src\hooks\useInput.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\dev\repos\ZanysoundApp\src\hooks\useStopPropagation.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\dev\repos\ZanysoundApp\src\i18n\dictionary.json", "JSON", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 194
"c:\dev\repos\ZanysoundApp\src\i18n\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\dev\repos\ZanysoundApp\src\lib\ytdl\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 54, 165
"c:\dev\repos\ZanysoundApp\src\lib\ytdl\__AUTO_PATCHER__\__REACT_NATIVE_YTDL_CUSTOM_FILES__\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 54, 165
"c:\dev\repos\ZanysoundApp\src\lib\ytdl\__AUTO_PATCHER__\__REACT_NATIVE_YTDL_CUSTOM_FILES__\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\dev\repos\ZanysoundApp\src\lib\ytdl\__AUTO_PATCHER__\__REACT_NATIVE_YTDL_CUSTOM_FILES__\lib\__REACT_NATIVE_YTDL_CUSTOM_MODULES__\m3u8stream\index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 41
"c:\dev\repos\ZanysoundApp\src\lib\ytdl\__AUTO_PATCHER__\__REACT_NATIVE_YTDL_CUSTOM_FILES__\lib\__REACT_NATIVE_YTDL_CUSTOM_MODULES__\miniget\index.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 59
"c:\dev\repos\ZanysoundApp\src\lib\ytdl\__AUTO_PATCHER__\__REACT_NATIVE_YTDL_CUSTOM_FILES__\lib\__REACT_NATIVE_YTDL_CUSTOM_MODULES__\sax\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
